Running ./cmake-build-release/bin/multiple_intersections
Run on (8 X 4827.41 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 256 KiB (x8)
  L3 Unified 16384 KiB (x1)
Load Average: 0.65, 0.65, 0.50
--------------------------------------------------------------------------------------
Benchmark                                            Time             CPU   Iterations
BM_using_less_branching_unrolled/7/512            2726 ns         2726 ns       314194
BM_using_less_branching_unrolled/2/4096          16244 ns        16244 ns        42363
BM_using_less_branching_unrolled/3/4096          20850 ns        20850 ns        33458
BM_using_less_branching_unrolled/4/4096          24857 ns        24857 ns        28200
BM_using_less_branching_unrolled/5/4096          28468 ns        28467 ns        24242
BM_using_less_branching_unrolled/6/4096          32033 ns        32033 ns        21711
BM_using_less_branching_unrolled/7/4096          37116 ns        37115 ns        19358
BM_using_less_branching_unrolled/2/32768        226579 ns       226577 ns         3081
BM_using_less_branching_unrolled/3/32768        271709 ns       271704 ns         2589
BM_using_less_branching_unrolled/4/32768        300638 ns       300636 ns         2337
BM_using_less_branching_unrolled/5/32768        328370 ns       328367 ns         2123
BM_using_less_branching_unrolled/6/32768        355426 ns       355420 ns         1973
BM_using_less_branching_unrolled/7/32768        383221 ns       383218 ns         1825
BM_using_less_branching_unrolled/2/262144      1895218 ns      1895124 ns          368
BM_using_less_branching_unrolled/3/262144      2247092 ns      2246996 ns          311
BM_using_less_branching_unrolled/4/262144      2490751 ns      2490677 ns          281
BM_using_less_branching_unrolled/5/262144      2723583 ns      2723522 ns          256
BM_using_less_branching_unrolled/6/262144      2995702 ns      2995551 ns          234
BM_using_less_branching_unrolled/7/262144      3273243 ns      3273089 ns          213
